cluster,X1,Murder,Assault,UrbanPop,Rape
1,Alabama,13.2,236,58,21.2
1,Alaska,10,263,48,44.5
1,Arizona,8.1,294,80,31
2,Arkansas,8.8,190,50,19.5
1,California,9,276,91,40.6
1,Colorado,7.9,204,78,38.7
2,Connecticut,3.3,110,77,11.1
2,Delaware,5.9,238,72,15.8
1,Florida,15.4,335,80,31.9
1,Georgia,17.4,211,60,25.8
2,Hawaii,5.3,46,83,20.2
2,Idaho,2.6,120,54,14.2
1,Illinois,10.4,249,83,24
2,Indiana,7.2,113,65,21
3,Iowa,2.2,56,57,11.3
2,Kansas,6,115,66,18
2,Kentucky,9.7,109,52,16.3
1,Louisiana,15.4,249,66,22.2
3,Maine,2.1,83,51,7.8
1,Maryland,11.3,300,67,27.8
2,Massachusetts,4.4,149,85,16.3
1,Michigan,12.1,255,74,35.1
3,Minnesota,2.7,72,66,14.9
1,Mississippi,16.1,259,44,17.1
2,Missouri,9,178,70,28.2
2,Montana,6,109,53,16.4
2,Nebraska,4.3,102,62,16.5
1,Nevada,12.2,252,81,46
3,New Hampshire,2.1,57,56,9.5
2,New Jersey,7.4,159,89,18.8
1,New Mexico,11.4,285,70,32.1
1,New York,11.1,254,86,26.1
1,North Carolina,13,337,45,16.1
3,North Dakota,0.8,45,44,7.3
2,Ohio,7.3,120,75,21.4
2,Oklahoma,6.6,151,68,20
2,Oregon,4.9,159,67,29.3
2,Pennsylvania,6.3,106,72,14.9
2,Rhode Island,3.4,174,87,8.3
1,South Carolina,14.4,279,48,22.5
3,South Dakota,3.8,86,45,12.8
1,Tennessee,13.2,188,59,26.9
1,Texas,12.7,201,80,25.5
2,Utah,3.2,120,80,22.9
3,Vermont,2.2,48,32,11.2
2,Virginia,8.5,156,63,20.7
2,Washington,4,145,73,26.2
3,West Virginia,5.7,81,39,9.3
3,Wisconsin,2.6,53,66,10.8
2,Wyoming,6.8,161,60,15.6
